name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
CHICKEN RICO,21224,Brewers Hill,1,SOUTHEASTERN,"3728 EASTERN AVE
Baltimore, MD
"
CHIMES CAF,21215,Seton Business Park,5,NORTHWESTERN,"4814 SETON DR
Baltimore, MD
"
CHINA CHEF,21224,Baltimore Highlands,2,SOUTHEASTERN,"3816 LOMBARD ST
Baltimore, MD
"
CHINA EAST,21224,Joseph Lee,2,SOUTHEASTERN,"6230 EASTERN AVE
Baltimore, MD
"
CHINA EUTAW EXPRESS,21201,Downtown,11,CENTRAL,"236 238 N EUTAW ST
Baltimore, MD
"
CHINA GARDEN,21202,Oldtown,12,EASTERN,"582 OLD TOWN MALL
Baltimore, MD
"
CHINA WOK,21239,Loch Raven,4,NORTHEASTERN,"5820 HILLEN RD
Baltimore, MD
"
CHINATOWN CAF,21201,Downtown,11,CENTRAL,"323 PARK AVE
Baltimore, MD
"
CHINESE DELIGHT,21211,Hampden,14,NORTHERN,"4032 FALLS RD
Baltimore, MD
"
CHIPOTLE,21202,Inner Harbor,11,CENTRAL,"621 PRATT ST
Baltimore, MD
"
CHIPOTLE MEXICAN GRILL,21218,Charles Village,14,NORTHERN,"3201 ST PAUL ST
Baltimore, MD
"
CHIU'S SUSHI JAPANESE RESTAURANT,21202,Inner Harbor,1,SOUTHEASTERN,"608 EXETER ST
Baltimore, MD
"
CHIYO SUSHI,21209,Mount Washington,5,NORTHERN,"1619 SULGRAVE AVE
Baltimore, MD
"
CHOCOLATEA,21218,Tuscany-Canterbury,14,NORTHERN,"3811 CANTERBURY RD
Baltimore, MD
"
CHOPPER'S TAVERN,21217,Upton,11,CENTRAL,"1531 PENNSYLVANIA AVE
Baltimore, MD
"
CHOW  MEIN CHARLIES  chinese food,21210,Roland Park,6,NORTHERN,"508 COLD SPRING LN
Baltimore, MD
"
CHRIS LIQUOR & GRILL,21230,Washington Village,9,SOUTHERN,"1273 washington blvd
Baltimore, MD
"
CHUBBIES CLUB,21231,Fells Point,1,SOUTHEASTERN,"2000 EASTERN AVE
Baltimore, MD
"
CHUCK'S,21224,Canton,1,SOUTHEASTERN,"3137 EASTERN AVE
Baltimore, MD
"
CHUNG MEE RESTAURANT,21239,Woodbourne Heights,4,NORTHERN,"5646 THE
Baltimore, MD
"
CIAO BELLA RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"236 HIGH ST
Baltimore, MD
"
CINCO DE MAYO,21231,Little Italy,1,SOUTHEASTERN,"1312 EASTERN AVE
Baltimore, MD
"
CINGHIALE,21202,Inner Harbor,1,SOUTHEASTERN,"822 LANCASTER ST
Baltimore, MD
"
CIRCUS BAR & RESTAURANT,21202,Downtown,11,CENTRAL,"427 BALTIMORE ST
Baltimore, MD
"
CITY LIMITS SPORTS BAR,21230,Locust Point,10,SOUTHERN,"1700 FORT AVE
Baltimore, MD
"
claddagh pub,21224,Canton,1,SOUTHEASTERN,"2918 O DONNELL ST
Baltimore, MD
"
CLASSIC CAFE EXPRESS,21201,Mid-Town Belvedere,12,CENTRAL,"1515 CHARLES ST
Baltimore, MD
"
CLAYTON FINE BOOKS & CAF,21201,Downtown,11,CENTRAL,"317 CHARLES ST
Baltimore, MD
"
CLIFTON PARK GOLF COURSE SNACK BAR,21213,Darley Park,14,NORTHEASTERN,"2701 ST LO DR
Baltimore, MD
"
CLIPPER MILL INN,21211,Hampden,7,NORTHERN,"1619 UNION AVE
Baltimore, MD
"
CLUB 1722,21201,Charles North,12,CENTRAL,"1722 CHARLES ST
Baltimore, MD
"
CLUB BAR,21217,Sandtown-Winchester,7,WESTERN,"1609 LAURENS ST
Baltimore, MD
"
CLUB BUNNS (606-08),21201,Seton Hill,11,CENTRAL,"606 LEXINGTON ST
Baltimore, MD
"
club charles zodiac     (1724-1726 n. charles st),21201,Charles North,12,CENTRAL,"1724 CHARLES ST
Baltimore, MD
"
CLUB CHOICES,21201,Charles North,12,CENTRAL,"1817 CHARLES ST
Baltimore, MD
"
CLUB CLIMAX,21223,Shipley Hill,9,SOUTHWESTERN,"2432 BALTIMORE ST
Baltimore, MD
"
CLUB CONFETTI,21231,Fells Point,1,SOUTHEASTERN,"1609 BANK ST
Baltimore, MD
"
CLUB HAREM,21202,Downtown,11,CENTRAL,"425 BALTIMORE ST
Baltimore, MD
"
CLUB HOUSE BAR & GRILL,21213,Orangeville Industrial Area,13,EASTERN,"4217 ERDMAN AVE
Baltimore, MD
"
CLUB HUSH,21223,Carrollton Ridge,9,SOUTHERN,"1930 LOMBARD ST
Baltimore, MD
"
CLUB INTERNATIONAL,21223,Shipley Hill,9,SOUTHWESTERN,"2301 BALTIMORE ST
Baltimore, MD
"
CLUB LUZERENE,21205,McElderry Park,13,SOUTHEASTERN,"542 LUZERNE AVE
Baltimore, MD
"
CLUB MATE,21225,Brooklyn,10,SOUTHERN,"3610 HANOVER ST
Baltimore, MD
"
CLUB MIAMI,21202,Downtown,11,CENTRAL,"414 BALTIMORE ST
Baltimore, MD
"
CLUB MITCHELL,21202,Jonestown,12,SOUTHEASTERN,"1003 PRATT ST
Baltimore, MD
"
CLUB OKAPI,21223,Carrollton Ridge,9,SOUTHWESTERN,"2219 PRATT ST
Baltimore, MD
"
CLUB ONE,21202,Downtown,11,CENTRAL,"300 SARATOGA ST
Baltimore, MD
"
CLUB PHOENIX,21201,Mid-Town Belvedere,11,CENTRAL,"1 BIDDLE ST
Baltimore, MD
"
CLUB PUSSYCAT,21202,Downtown,11,CENTRAL,"411 BALTIMORE ST
Baltimore, MD
"
CLUB RIO & TOUCH OF CLASS,21216,Winchester,9,SOUTHWESTERN,"1315 Bloomingdale Dr
Baltimore, MD
"
CLUBHOUSE BAR,21223,Carrollton Ridge,9,SOUTHERN,"1812 PRATT ST
Baltimore, MD
"
CLUBHOUSE BAR & GRILL,21213,Orangeville Industrial Area,13,EASTERN,"4217 ERDMAN AVE
Baltimore, MD
"
COACH HOUSE INN,21206,Cedmont,2,NORTHEASTERN,"6605 BELAIR RD
Baltimore, MD
"
COCKY LOU'S,21213,Broadway East,12,EASTERN,"2101 NORTH AVE
Baltimore, MD
"
COCO MOKA CAF,21230,Riverside,10,SOUTHERN,"921 FORT AVE
Baltimore, MD
"
COCONUT CAF,21201,Mount Vernon,11,CENTRAL,"311 MADISON ST
Baltimore, MD
"
COFFEE LAND,21201,Downtown,11,CENTRAL,"222 CHARLES ST
Baltimore, MD
"
COLD STONE CREAMERY #1479,21225,Canton,1,SOUTHEASTERN,"2500 BOSTON ST
Baltimore, MD
"
COLD STONE CREAMERY# 102,21224,Canton,1,SOUTHEASTERN,"2500 BOSTON ST
Baltimore, MD
"
COLLINS CORNER,21230,Westport,10,SOUTHERN,"2231 CEDLEY ST
Baltimore, MD
"
COLONIAL INN,21224,Fells Point,1,SOUTHEASTERN,"2001 EASTERN AVE
Baltimore, MD
"
COMMON GROUND,21211,Hampden,14,NORTHERN,"819 36TH ST
Baltimore, MD
"
COOKIE'S  CITY  LINE  DINER,21226,Hawkins Point,10,SOUTHERN,"6407 FORT SMALLWOOD RD
Baltimore, MD
"
COOPER'S LIQUOR (568-570),21202,Oldtown,12,EASTERN,"568 OLD TOWN MALL
Baltimore, MD
"
COPRA,21201,Downtown,11,CENTRAL,"313 CHARLES ST
Baltimore, MD
"
CORKS,21230,Federal Hill,10,SOUTHERN,"1026 CHARLES ST
Baltimore, MD
"
CORKY'S GRILL,21211,Remington,7,NORTHERN,"225 23RD ST
Baltimore, MD
"
CORRADO'S CAF,21208,Downtown,11,CENTRAL,"203 REDWOOD ST
Baltimore, MD
"
"COSI, INC. # 157",21202,Inner Harbor,11,CENTRAL,"100 CHARLES ST
Baltimore, MD
"
COSMOPOLITAN BAR & GRILL,21224,Canton,1,SOUTHEASTERN,"2933 O DONNELL ST
Baltimore, MD
"
COSMOS RESTAURANT-CARRYOUT (5427-29),21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5427 HARFORD RD
Baltimore, MD
"
COTTON CLUB,21217,Midtown-Edmondson,9,WESTERN,"2000 HARLEM AVE
Baltimore, MD
"
courthouse east caf‚',21202,Downtown,11,CENTRAL,"111 calvert st
Baltimore, MD
"
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,21202,Inner Harbor,1,SOUTHEASTERN,"1000 ALICEANNA ST
Baltimore, MD
"
crazy johns,21202,Downtown,11,CENTRAL,"410 BALTIMORE ST
Baltimore, MD
"
CRAZY LIL'S,21230,Federal Hill,10,SOUTHERN,"27 CROSS ST
Baltimore, MD
"
CREATIVE ALLIANCE,21224,Canton,1,SOUTHEASTERN,"3134 EASTERN AVE
Baltimore, MD
"
CREPE DU JOUR,21209,Mount Washington,5,NORTHERN,"1609 SULGRAVE AVE
Baltimore, MD
"
CROSSROADS SPORTS PUB & GRILL,21224,Canton,1,SOUTHEASTERN,"3328 FOSTER AVE
Baltimore, MD
"
CURB SHOPPE,21209,North Roland Park/Poplar Hill,5,NORTHERN,"5736 FALLS RD
Baltimore, MD
"
CURLEY ST.  CAF,21224,Canton,1,SOUTHEASTERN,"701 CURLEY ST
Baltimore, MD
"
CURTIS BAY ATHLETIC CLUB,21226,Curtis Bay,10,SOUTHERN,"1603 CEDDOX ST
Baltimore, MD
"
D J'S GASLIGHT,21226,Curtis Bay,10,SOUTHERN,"4900 CURTIS AVE
Baltimore, MD
"
DAILY  GRIND  COFFEE  HOUSE,21205,Middle East,12,EASTERN,"720 RUTLAND AVE
Baltimore, MD
"
DAILY GRIND,21224,Canton,1,SOUTHEASTERN,"1030 LINWOOD AVE
Baltimore, MD
"
DAILY GRIND,21205,Dunbar-Broadway,13,EASTERN,"610 WASHINGTON ST
Baltimore, MD
"
dalesio's of little italy llc,21202,Little Italy,1,SOUTHEASTERN,"829 EASTERN AVE
Baltimore, MD
"
DANCING PIGS,21230,Washington Village,10,SOUTHERN,"1140 PACA ST
Baltimore, MD
"
DANNY'S LOUNGE,21215,Towanda-Grantley,6,NORTHWESTERN,"4316 REISTERSTOWN RD
Baltimore, MD
"
DARBY'S,21230,Morrell Park,10,SOUTHWESTERN,"2351 WASHINGTON BLVD
Baltimore, MD
"
DARKER THAN BLUE,21218,Better Waverly,14,NORTHERN,"3034 GREENMOUNT AVE
Baltimore, MD
"
DASH SEAFOOD & CHICKEN,21215,Central Park Heights,6,NORTHWESTERN,"5124 PARK HEIGHTS AVE
Baltimore, MD
"
DAVEY JONES LOCKER,21224,Brewers Hill,1,SOUTHEASTERN,"800 DEAN ST
Baltimore, MD
"
DAVID & DAD'S LLC,21201,Downtown,11,CENTRAL,"334 CHARLES ST
Baltimore, MD
"
DAVID'S RESTAURANT & DELI,21211,Hampden,7,NORTHERN,"3626-A FALLS RD
Baltimore, MD
"
DAYS INNS MANAGEMENT CO,21201,Inner Harbor,11,CENTRAL,"100 HOPKINS PLZ
Baltimore, MD
"
DEAD END SALOON,21231,Fells Point,1,SOUTHEASTERN,"935 FELL ST
Baltimore, MD
"
DEAD FREDDIES,21234,North Harford Road,3,NORTHEASTERN,"7209 HARFORD RD
Baltimore, MD
"
DECADES SPORTS BAR,21226,Curtis Bay,10,SOUTHERN,"4221 CURTIS AVE
Baltimore, MD
"
DECKERS BAR & GRILLE,21230,Locust Point,10,SOUTHERN,"1401 DECATUR ST
Baltimore, MD
"
DEEP SIDE RESTAURANT & CAF,21224,Baltimore-Linwood,1,SOUTHEASTERN,"123 CLINTON ST
Baltimore, MD
"
DEGO DAME'S,21202,Little Italy,1,SOUTHEASTERN,"1018 EASTERN AVE
Baltimore, MD
"
DELLA ROSE'S 2 CANTON CROSSING,21224,Canton Industrial Area,1,SOUTHEASTERN,"1501 CLINTON ST
Baltimore, MD
"
DESERT CAFE'(1605-07),21209,Mount Washington,5,NORTHERN,"1607 SULGRAVE AVE
Baltimore, MD
"
DESERT INN,21217,Midtown-Edmondson,9,WESTERN,"1901 HARLEM AVE
Baltimore, MD
"
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),21202,Downtown,11,CENTRAL,"415 BALTIMORE ST
Baltimore, MD
"
DIANNE'S RESTAURANT LOUNGE,21205,Middle East,13,EASTERN,"709 711 N CHESTER ST
Baltimore, MD
"
DILONE GROCERY & RESTAURANT,21224,Baltimore-Linwood,1,SOUTHEASTERN,"157 LAKEWOOD AVE
Baltimore, MD
"
"DIMIS CAF AND GRILL, INC.",21210,Roland Park,6,NORTHERN,"500 COLDSPRING LN
Baltimore, MD
"
DIMITRI'S TAVERN,21211,Hampden,7,NORTHERN,"3820 FALLS RD
Baltimore, MD
"
DING HOW RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"631 BROADWAY
Baltimore, MD
"
DIONYSUS RESTAURANT & LOUNGE,21202,Mid-Town Belvedere,12,CENTRAL,"8 PRESTON ST
Baltimore, MD
"
DIZZY  IZZY,21211,Remington,14,NORTHERN,"300 30TH ST
Baltimore, MD
"
DOMINICANO INTERNACIONAL,21224,Brewers Hill,1,SOUTHEASTERN,"601 CONKLING ST
Baltimore, MD
"
DOMINO SUGAR CAFATERIA OPERATION # 65227,21230,Riverside,10,SOUTHERN,"1100 KEY HWY
Baltimore, MD
"
DONNA'S,21201,Inner Harbor,11,SOUTHERN,"110 PACA ST
Baltimore, MD
"
DONNA'S,21222,Holabird Industrial Park,1,SOUTHEASTERN,"6607 PINE AVE
Baltimore, MD
"
DONNA'S,21201,Mount Vernon,11,CENTRAL,"800 CHARLES ST
Baltimore, MD
"
"DONNA'S CHARLES VILLAGE, LLC",21218,Charles Village,14,NORTHERN,"3101 ST PAUL ST
Baltimore, MD
"
DONNA'S CROSS KEYS,21210,Cross Keys,6,NORTHERN,"5100 FALLS RD
Baltimore, MD
"
DONRITZ BAR & GRILL,21223,Franklin Square,9,WESTERN,"1508 SARATOGA ST
Baltimore, MD
"
DOUGHERTY'S,21201,Mid-Town Belvedere,11,CENTRAL,"223 CHASE ST
Baltimore, MD
"
DOWN THE HATCH,21230,Locust Point,10,SOUTHERN,"1157 HAUBERT ST
Baltimore, MD
"
DOWNTOWN SPORTS EXCHANGE,21201,Inner Harbor,11,CENTRAL,"200 PRATT ST
Baltimore, MD
"
"DREAM TAVERN, CARRIBEAN  U.S.A.",21213,Broadway East,13,EASTERN,"2300 LAFAYETTE AVE
Baltimore, MD
"
DREAMS INN,21225,Brooklyn,10,SOUTHERN,"527 PATAPSCO AVE
Baltimore, MD
"
DRIFTERS RAW BAR & GRILL,21230,Federal Hill,10,SOUTHERN,"1024 CHARLES ST
Baltimore, MD
"
DUCK'S BLACK SATIN LOUNGE,21215,Central Park Heights,6,NORTHWESTERN,"4559 REISTERSTOWN RD
Baltimore, MD
"
DUCKY PLEASURE CLUB,21224,Canton,1,SOUTHEASTERN,"900 CLINTON ST
Baltimore, MD
"
DUCLAW BREWING COMPANY,21231,Gay Street,12,EASTERN,"901 BOND ST
Baltimore, MD
"
DUDA'S TAVERN,21231,Fells Point,1,SOUTHEASTERN,"1600 THAMES ST
Baltimore, MD
"
DUKEM ETHIOPIAN RESTAURANT,21201,Mid-Town Belvedere,11,CENTRAL,"1100 MARYLAND AVE
Baltimore, MD
"
DUNKIN DONUTS,21211,Hampden,14,NORTHERN,"1020 41ST ST
Baltimore, MD
"
Dunkin Donuts,21224,Orangeville,2,SOUTHEASTERN,"4022 pulaski hwy
Baltimore, MD
"
DUNKIN DONUTS,21209,Cross Keys,6,NORTHERN,"4535 FALLS RD
Baltimore, MD
"
DUNKIN DONUTS,21212,Homeland,4,NORTHERN,"5422 YORK RD
Baltimore, MD
"
DUNKIN DONUTS,21215,Fallstaff,5,NORTHWESTERN,"7000 REISTERSTOWN RD
Baltimore, MD
"
DUNKIN DONUTS & BASKIN ROBBINS,21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5401 HARFORD RD
Baltimore, MD
"
DUNKIN DONUTS/BASKIN ROBBINS,21224,Canton Industrial Area,1,SOUTHEASTERN,"3600 BOSTON ST
Baltimore, MD
"
DUTCH POT CAF,21201,Downtown,11,CENTRAL,"102 CLAY ST
Baltimore, MD
"
DYNASTY,21202,Downtown,11,CENTRAL,"406 BALTIMORE ST
Baltimore, MD
"
E C CAF & CATERING,21224,Hopkins Bayview,2,SOUTHEASTERN,"5501 HOPKINS BAYVIEW CIR
Baltimore, MD
"
EAGLE NEST,21226,Curtis Bay,10,SOUTHERN,"4800 CURTIS AVE
Baltimore, MD
"
EAST BALTIMORE ENTERPRISE,21202,Jonestown,12,SOUTHEASTERN,"239 GAY ST
Baltimore, MD
"
EASTERN HOUSE RESTAURANT,21224,Highlandtown,2,SOUTHEASTERN,"3706 EASTERN AVE
Baltimore, MD
"
EASTSIDE  SPORTS  SOCIAL  CLUB,21213,Broadway East,13,EASTERN,"1203 COLLINGTON AVE
Baltimore, MD
"
EAT MUST BE FIRST,21201,Seton Hill,11,CENTRAL,"600 lexington st
Baltimore, MD
"
ECLECTIC CAF,21231,Fells Point,1,SOUTHEASTERN,"723 BROADWAY
Baltimore, MD
"
edelweiss bakery & caf‚',21214,Westfield,3,NORTHEASTERN,"6000 harford rd
Baltimore, MD
"
EDENS LOUNGE,21202,Mid-Town Belvedere,11,CENTRAL,"15 EAGER ST
Baltimore, MD
"
"EDGAR'S INC.--BALTIMORE, MD",21202,Inner Harbor,11,CENTRAL,"1 PRATT ST
Baltimore, MD
"
EDIE'S DELI & GRILL,21201,Inner Harbor,11,CENTRAL,"250 PRATT ST
Baltimore, MD
"
EDISON   LOUNGE,21205,Ellwood Park/Monument,13,EASTERN,"3133 MONUMENT ST
Baltimore, MD
"
EDO SUSHI,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD
"
EICHENKRANZ RESTAURANT,21224,Brewers Hill,1,SOUTHEASTERN,"611 FAGLEY ST
Baltimore, MD
"
EL OSASIS RESTAURANT & DISCOTEC,21224,Brewers Hill,1,SOUTHEASTERN,"3919 EASTERN AVE
Baltimore, MD
"
EL RANCHO BLANCO,21224,Baltimore Highlands,2,SOUTHEASTERN,"100 FAGLEY ST
Baltimore, MD
"
EL RANCHO GRANDE,21211,Hampden,7,NORTHERN,"3608 FALLS RD
Baltimore, MD
"
"EL RECODO, INC.",21231,Fells Point,1,SOUTHEASTERN,"219 BROADWAY
Baltimore, MD
"
EL RINCONCITO PERUANO,21231,Washington Hill,1,SOUTHEASTERN,"1801 LOMBARD ST
Baltimore, MD
"
EL TORITO MEXICAN RESTAURANT,21201,Downtown,11,CENTRAL,"110 MULBERRY ST
Baltimore, MD
"
EL TROPICAL RESTAURANT (3736-38),21224,Baltimore Highlands,2,SOUTHEASTERN,"3736 LOMBARD ST
Baltimore, MD
"
ELDORADO INC.,21224,Kresson,2,SOUTHEASTERN,"4100 LOMBARD ST
Baltimore, MD
"
ELKS I.B.P.O.E.OF W.,21202,Johnston Square,12,EASTERN,"1127 GREENMOUNT AVE
Baltimore, MD
"
ELLIOT'S POUR HOUSE,21224,Brewers Hill,1,SOUTHEASTERN,"3728 HUDSON ST
Baltimore, MD
"
EL-MOLINO,21224,Baltimore-Linwood,1,SOUTHEASTERN,"3230 FAIRMOUNT ST
Baltimore, MD
"
ELVIS RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1022 LIGHT ST
Baltimore, MD
"
ENRICO'S SPORTS CAFE,21224,Highlandtown,2,SOUTHEASTERN,"200 HAVEN ST
Baltimore, MD
"
ESPN  ZONE,21202,Inner Harbor,11,CENTRAL,"601 PRATT ST
Baltimore, MD
"
europe restaurant & catering,21215,Reisterstown Station,5,NORTHWESTERN,"4147 labyrinth rd
Baltimore, MD
"
EVERYDAY'S LLC,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"1600 ABBOTTSON ST
Baltimore, MD
"
EXCLUSIVE,21202,Mid-Town Belvedere,12,CENTRAL,"1 CHASE ST
Baltimore, MD
"
family diner,21226,Fairfield Area,10,SOUTHERN,"3117 VERA ST
Baltimore, MD
"
FAMOUS RESTAURANT,21218,Charles North,12,NORTHERN,"2101 MARYLAND AVE
Baltimore, MD
"
FANTASIES,21226,Curtis Bay,10,SOUTHERN,"5520 PENNINGTON AVE
Baltimore, MD
"
FANTASY CAF,21224,Holabird Industrial Park,1,SOUTHEASTERN,"6640 HOLABIRD AVE
Baltimore, MD
"
FEDERAL HILL LOUNGE,21230,Federal Hill,10,SOUTHERN,"23 CROSS ST
Baltimore, MD
"
FELL'S POINT CARRYOUT,21231,Fells Point,1,SOUTHEASTERN,"1635 FLEET ST
Baltimore, MD
"
FIELDER'S TAVERN,21230,Washington Village,9,SOUTHERN,"1184 NANTICOKE ST
Baltimore, MD
"
FIELDS OLD TRAIL,21212,Mid-Govans,4,NORTHERN,"5723 YORK RD
Baltimore, MD
"
FIELDS RIB HOUSE,21216,Central Forest Park,6,NORTHWESTERN,"3308 GARRISON BLVD
Baltimore, MD
"
FILLIN' STATION,21230,Morrell Park,10,SOUTHWESTERN,"2501 WASHINGTON BLVD
Baltimore, MD
"
FIRESIDE NORTH LIQUORS,21216,Coppin Heights/Ash-Co-East,7,WESTERN,"2201 NORTH AVE
Baltimore, MD
"
FISHERMANS WHARF INNER HARBOR,21202,Inner Harbor,1,SOUTHEASTERN,"219 PRESIDENT ST
Baltimore, MD
"
FIVE GUYS @ BREWERS HILL,21224,Canton Industrial Area,1,SOUTHEASTERN,"3600 BOSTON ST
Baltimore, MD
"
FIVE GUYS FAMOUS BURGERS & FRIES,21201,Mount Vernon,11,CENTRAL,"111 CENTRE ST
Baltimore, MD
"
FIVE GUYS FAMOUS BURGERS & FRIES,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD
"
FIVE POINT TAVERN,21231,Fells Point,1,SOUTHEASTERN,"1800 THAMES ST
Baltimore, MD
"
FIVE SEASONS,21202,Mount Vernon,11,CENTRAL,"830 GUILFORD AVE
Baltimore, MD
"
FLAMERS BURGER & CHICKEN,21205,Dunbar-Broadway,12,EASTERN,"601 CAROLINE ST
Baltimore, MD
"
FLAMINGO  LOUNGE,21202,Downtown,11,CENTRAL,"403 BALTIMORE ST
Baltimore, MD
"
Fleming's Prime Steakhouse and Wine Bar,21202,Inner Harbor,1,SOUTHEASTERN,"720 Aliceanna st
Baltimore, MD
"
FLETCHERS,21231,Fells Point,1,SOUTHEASTERN,"701 BOND ST
Baltimore, MD
"
FLIP'S AT CLIPPER MILL,21211,Hampden,7,NORTHERN,"1601 UNION AVE
Baltimore, MD
"
FOGO DE CHAO,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST
Baltimore, MD
"
FOODTOPIA,21202,Downtown,11,CENTRAL,"17 BALTIMORE ST
Baltimore, MD
"
FORT CHARLES PUB,21230,SBIC,10,SOUTHERN,"1439 CHARLES ST
Baltimore, MD
"
FOUL BALL BAR,21230,Washington Village,10,SOUTHERN,"839 CROSS ST
Baltimore, MD
"
FOUR G'S LIQUOR & LOUNGE,21207,Howard Park,5,NORTHWESTERN,"4701 3 LIBERTY HEIGHTS AVE
Baltimore, MD
"
FOXY LADY,21202,Downtown,11,CENTRAL,"16 CUSTOM HOUSE AVE
Baltimore, MD
"
FRANKLINTOWN INN,21207,Franklintown,8,SOUTHWESTERN,"5200 FRANKLINTOWN RD
Baltimore, MD
"
FRANK'S PIZZA,21206,Rosemont East,2,NORTHEASTERN,"6620 BELAIR RD
Baltimore, MD
"
fraternal order of police baltimore city lodge #3,21211,Hampden,7,NORTHERN,"3920 buena vista ave
Baltimore, MD
"
FRAZIER'S ON THE AVENUE,21211,Hampden,14,NORTHERN,"919 36TH ST
Baltimore, MD
"
FRED & MARGIE'S INN,21226,Curtis Bay,10,SOUTHERN,"3605 FAIRHAVEN AVE
Baltimore, MD
"
FREDERICK STATION SALOON,21229,Irvington,8,SOUTHWESTERN,"4019 FREDERICK AVE
Baltimore, MD
"
FRIENDLY  FRIED  CHICKEN,21218,Abell,14,NORTHERN,"3221 GREENMOUNT AVE
Baltimore, MD
"
FRIEND'S RESTAURANT AND SPIRITS,21231,Fells Point,1,SOUTHEASTERN,"1634 ALICEANNA ST
Baltimore, MD
"
FULL MOON SALOON,21231,Fells Point,1,SOUTHEASTERN,"1710 ALICEANNA ST
Baltimore, MD
"
FULTON RESTAURANT,21217,Penn North,7,WESTERN,"2733 PENNSLYVANIA AVE
Baltimore, MD
"
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),21217,Penn North,7,WESTERN,"2201 FULTON Ave
Baltimore, MD
"
G & A RESTAURANT,21224,Brewers Hill,1,SOUTHEASTERN,"3802 EASTERN AVE
Baltimore, MD
"
GAFFNEY'S BACK FIN ( seasonal),21224,Highlandtown,1,SOUTHEASTERN,"415 HIGHLAND AVE
Baltimore, MD
"
GALLAGHERS BAR & GRILL    (938-940),21224,Brewers Hill,1,SOUTHEASTERN,"938 CONKLING ST
Baltimore, MD
"
GALLERY,21201,Charles North,12,CENTRAL,"1735 MARYLAND AVE
Baltimore, MD
"
GALLERY CAF,21201,Mount Vernon,11,CENTRAL,"13 CENTRE ST
Baltimore, MD
"
GARDEN BEEF & BEER,21205,Armistead Gardens,13,EASTERN,"4809 ERDMAN AVE
Baltimore, MD
"
GARDEN RESTAURANT,21230,Riverside,10,SOUTHERN,"1501 LIGHT ST
Baltimore, MD
"
GECKOS,21224,Canton,1,SOUTHEASTERN,"2318 FLEET ST
Baltimore, MD
"
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),21202,Inner Harbor,1,SOUTHEASTERN,"1001 FLEET ST
Baltimore, MD
"
"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC.",21231,Fells Point,1,SOUTHEASTERN,"1746 FLEET ST
Baltimore, MD
"
GENTLEMEN OF CHARISMA,21205,Middle East,13,EASTERN,"838 CHESTER ST
Baltimore, MD
"
GEORGE'S CAFETERIA,21222,Dundalk Marine Terminal,1,SOUTHEASTERN,"2700 BROENING HWY
Baltimore, MD
"
GEORGIO'S,21215,Reisterstown Station,5,NORTHWESTERN,"6322 REISTERSTOWN RD
Baltimore, MD
"
GERMANIO'S RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"300 HIGH ST
Baltimore, MD
"
GIBSON'S,21231,Butcher's Hill,1,SOUTHEASTERN,"32 CHESTER ST
Baltimore, MD
"
GILMOR PLEASURE CLUB,21223,New Southwest/Mount Clare,9,SOUTHERN,"347 GILMOR ST
Baltimore, MD
"
GINGER'S,21224,Highlandtown,1,SOUTHEASTERN,"421 CONKLING ST
Baltimore, MD
"
"GLADIATORS ASSOCIATIONS, INC",21223,Franklin Square,9,WESTERN,"1315 MULBERRY ST
Baltimore, MD
"
GLASS DOOR lounge,21202,Pleasant View Gardens,12,SOUTHEASTERN,"1263 FAYETTE ST
Baltimore, MD
"
GOLDEN KEY RESTAURANT,21214,Glenham-Belford,3,NORTHEASTERN,"5512 HARFORD RD
Baltimore, MD
"
GOLDEN NUGGET,21202,Downtown,11,CENTRAL,"411 BALTIMORE ST
Baltimore, MD
"
GOLDEN NUGGET LOUNGE,21202,Downtown,11,CENTRAL,"411 1 2 E BALTIMORE ST
Baltimore, MD
"
"GOLDEN WEST CAF, INC.",21211,Hampden,7,NORTHERN,"1105 36TH ST
Baltimore, MD
"
GOOD TIMES BAR AND LOUNGE,21217,Franklin Square,9,WESTERN,"1600 BALTIMORE ST
Baltimore, MD
"
GORDON'S,21201,Charles North,12,CENTRAL,"1818 MARYLAND AVE
Baltimore, MD
"
GOSSIP BISTRO,21202,Downtown,11,CENTRAL,"21 CALVERT ST
Baltimore, MD
"
GRAND CRU,21212,Chinquapin Park-Belvedere,4,NORTHERN,"527 BELVEDERE AVE
Baltimore, MD
"
GRANDVIEW RESTAURANT,21215,Hampden,14,NORTHERN,"3838 ROLAND AVE
Baltimore, MD
"
