"Indicator","Data Source","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Children aged <5 years underweight (%)","NLIS_312318","Published","1999","Africa","Côte d'Ivoire","Both sexes","
18.2
","18.2","","",""
"Children aged <5 years underweight (%)","NLIS_312318","Published","1999","Africa","Côte d'Ivoire","Male","
16.7
","16.7","","",""
"Children aged <5 years underweight (%)","NLIS_312318","Published","1999","Africa","Côte d'Ivoire","Female","
19.7
","19.7","","",""
"Children aged <5 years underweight (%)","NLIS_312854","Published","2006","Africa","Côte d'Ivoire","Female","
14.4
","14.4","","",""
"Children aged <5 years underweight (%)","NLIS_312854","Published","2006","Africa","Côte d'Ivoire","Both sexes","
16.7
","16.7","","",""
"Children aged <5 years underweight (%)","NLIS_312854","Published","2006","Africa","Côte d'Ivoire","Male","
18.8
","18.8","","",""
"Children aged <5 years underweight (%)","NLIS_313054","Published","2007","Africa","Côte d'Ivoire","Both sexes","
29.4
","29.4","","",""
"Children aged <5 years underweight (%)","NLIS_313054","Published","2007","Africa","Côte d'Ivoire","Male","
30.3
","30.3","","",""
"Children aged <5 years underweight (%)","NLIS_313054","Published","2007","Africa","Côte d'Ivoire","Female","
28.4
","28.4","","",""
"Children aged <5 years underweight (%)","NLIS_311678","Published","1994","Europe","Croatia","Both sexes","
0.6
","0.6","","",""
"Children aged <5 years underweight (%)","NLIS_311678","Published","1995","Europe","Croatia","Both sexes","
0.5
","0.5","","",""
"Children aged <5 years underweight (%)","NLIS_311678","Published","1996","Europe","Croatia","Both sexes","
0.5
","0.5","","",""
"Children aged <5 years underweight (%)","NLIS_313029","Published","2000","Americas","Cuba","Both sexes","
3.4
","3.4","","",""
"Children aged <5 years underweight (%)","NLIS_311277","Published","1991","Europe","Czech Republic","Both sexes","
0.9
","0.9","","",""
"Children aged <5 years underweight (%)","NLIS_312764","Published","2002","Europe","Czech Republic","Female","
1.6
","1.6","","",""
"Children aged <5 years underweight (%)","NLIS_312764","Published","2002","Europe","Czech Republic","Male","
2.5
","2.5","","",""
"Children aged <5 years underweight (%)","NLIS_312764","Published","2002","Europe","Czech Republic","Both sexes","
2.1
","2.1","","",""
"Children aged <5 years underweight (%)","NLIS_312345","Published","2000","South-East Asia","Democratic People's Republic of Korea","Both sexes","
24.7
","24.7","","",""
"Children aged <5 years underweight (%)","NLIS_312471","Published","2002","South-East Asia","Democratic People's Republic of Korea","Both sexes","
17.8
","17.8","","",""
"Children aged <5 years underweight (%)","NLIS_312471","Published","2002","South-East Asia","Democratic People's Republic of Korea","Female","
16.2
","16.2","","",""
"Children aged <5 years underweight (%)","NLIS_312471","Published","2002","South-East Asia","Democratic People's Republic of Korea","Male","
19.2
","19.2","","",""
"Children aged <5 years underweight (%)","NLIS_312962","Published","2004","South-East Asia","Democratic People's Republic of Korea","Both sexes","
20.6
","20.6","","",""
"Children aged <5 years underweight (%)","NLIS_313074","Published","2009","South-East Asia","Democratic People's Republic of Korea","Male","
18.8
","18.8","","",""
"Children aged <5 years underweight (%)","NLIS_313074","Published","2009","South-East Asia","Democratic People's Republic of Korea","Both sexes","
18.8
","18.8","","",""
"Children aged <5 years underweight (%)","NLIS_313074","Published","2009","South-East Asia","Democratic People's Republic of Korea","Female","
18.8
","18.8","","",""
"Children aged <5 years underweight (%)","NLIS_311558","Published","1995","Africa","Democratic Republic of the Congo","Both sexes","
30.7
","30.7","","",""
"Children aged <5 years underweight (%)","NLIS_312393","Published","2001","Africa","Democratic Republic of the Congo","Male","
36.5
","36.5","","",""
"Children aged <5 years underweight (%)","NLIS_312393","Published","2001","Africa","Democratic Republic of the Congo","Both sexes","
33.6
","33.6","","",""
"Children aged <5 years underweight (%)","NLIS_312393","Published","2001","Africa","Democratic Republic of the Congo","Female","
30.7
","30.7","","",""
"Children aged <5 years underweight (%)","NLIS_312888","Published","2007","Africa","Democratic Republic of the Congo","Female","
26.1
","26.1","","",""
"Children aged <5 years underweight (%)","NLIS_312888","Published","2007","Africa","Democratic Republic of the Congo","Male","
30.4
","30.4","","",""
"Children aged <5 years underweight (%)","NLIS_312888","Published","2007","Africa","Democratic Republic of the Congo","Both sexes","
28.2
","28.2","","",""
"Children aged <5 years underweight (%)","NLIS_312529","Published","2002","South-East Asia","Timor-Leste","Both sexes","
40.6
","40.6","","",""
"Children aged <5 years underweight (%)","NLIS_312529","Published","2002","South-East Asia","Timor-Leste","Male","
43.0
","43","","",""
"Children aged <5 years underweight (%)","NLIS_312529","Published","2002","South-East Asia","Timor-Leste","Female","
38.1
","38.1","","",""
"Children aged <5 years underweight (%)","NLIS_312662","Published","2003","South-East Asia","Timor-Leste","Both sexes","
41.5
","41.5","","",""
"Children aged <5 years underweight (%)","NLIS_313109","Published","2008","South-East Asia","Timor-Leste","Male","
52.5
","52.5","","",""
"Children aged <5 years underweight (%)","NLIS_313109","Published","2008","South-East Asia","Timor-Leste","Both sexes","
48.6
","48.6","","",""
"Children aged <5 years underweight (%)","NLIS_313109","Published","2008","South-East Asia","Timor-Leste","Female","
44.5
","44.5","","",""
"Children aged <5 years underweight (%)","NLIS_313066","Published","2010","South-East Asia","Timor-Leste","Female","
43.7
","43.7","","",""
"Children aged <5 years underweight (%)","NLIS_313066","Published","2010","South-East Asia","Timor-Leste","Male","
46.8
","46.8","","",""
"Children aged <5 years underweight (%)","NLIS_313066","Published","2010","South-East Asia","Timor-Leste","Both sexes","
45.3
","45.3","","",""
"Children aged <5 years underweight (%)","NLIS_310380","Published","1989","Eastern Mediterranean","Djibouti","Both sexes","
20.2
","20.2","","",""
"Children aged <5 years underweight (%)","NLIS_311936","Published","1996","Eastern Mediterranean","Djibouti","Both sexes","
16.0
","16","","",""
"Children aged <5 years underweight (%)","NLIS_312898","Published","2002","Eastern Mediterranean","Djibouti","Female","
23.0
","23","","",""
"Children aged <5 years underweight (%)","NLIS_312898","Published","2002","Eastern Mediterranean","Djibouti","Both sexes","
25.4
","25.4","","",""
"Children aged <5 years underweight (%)","NLIS_312898","Published","2002","Eastern Mediterranean","Djibouti","Male","
27.7
","27.7","","",""
"Children aged <5 years underweight (%)","NLIS_312950","Published","2006","Eastern Mediterranean","Djibouti","Female","
26.7
","26.7","","",""
"Children aged <5 years underweight (%)","NLIS_312950","Published","2006","Eastern Mediterranean","Djibouti","Male","
32.1
","32.1","","",""
"Children aged <5 years underweight (%)","NLIS_312950","Published","2006","Eastern Mediterranean","Djibouti","Both sexes","
29.6
","29.6","","",""
"Children aged <5 years underweight (%)","NLIS_310214","Published","1986","Americas","Dominican Republic","Female","
7.3
","7.3","","",""
"Children aged <5 years underweight (%)","NLIS_310214","Published","1986","Americas","Dominican Republic","Both sexes","
9.3
","9.3","","",""
"Children aged <5 years underweight (%)","NLIS_310214","Published","1986","Americas","Dominican Republic","Male","
11.4
","11.4","","",""
"Children aged <5 years underweight (%)","NLIS_310365","Published","1991","Americas","Dominican Republic","Male","
9.3
","9.3","","",""
"Children aged <5 years underweight (%)","NLIS_310365","Published","1991","Americas","Dominican Republic","Both sexes","
8.4
","8.4","","",""
"Children aged <5 years underweight (%)","NLIS_310365","Published","1991","Americas","Dominican Republic","Female","
7.5
","7.5","","",""
"Children aged <5 years underweight (%)","NLIS_311827","Published","1996","Americas","Dominican Republic","Male","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_311827","Published","1996","Americas","Dominican Republic","Female","
4.1
","4.1","","",""
"Children aged <5 years underweight (%)","NLIS_311827","Published","1996","Americas","Dominican Republic","Both sexes","
4.7
","4.7","","",""
"Children aged <5 years underweight (%)","NLIS_312356","Published","2000","Americas","Dominican Republic","Both sexes","
3.5
","3.5","","",""
"Children aged <5 years underweight (%)","NLIS_312356","Published","2000","Americas","Dominican Republic","Male","
4.0
","4","","",""
"Children aged <5 years underweight (%)","NLIS_312356","Published","2000","Americas","Dominican Republic","Female","
2.9
","2.9","","",""
"Children aged <5 years underweight (%)","NLIS_312580","Published","2002","Americas","Dominican Republic","Male","
4.6
","4.6","","",""
"Children aged <5 years underweight (%)","NLIS_312580","Published","2002","Americas","Dominican Republic","Female","
3.9
","3.9","","",""
"Children aged <5 years underweight (%)","NLIS_312580","Published","2002","Americas","Dominican Republic","Both sexes","
4.2
","4.2","","",""
"Children aged <5 years underweight (%)","NLIS_313079","Published","2006","Americas","Dominican Republic","Both sexes","
4.6
","4.6","","",""
"Children aged <5 years underweight (%)","NLIS_312919","Published","2007","Americas","Dominican Republic","Female","
3.7
","3.7","","",""
"Children aged <5 years underweight (%)","NLIS_312919","Published","2007","Americas","Dominican Republic","Both sexes","
3.4
","3.4","","",""
"Children aged <5 years underweight (%)","NLIS_312919","Published","2007","Americas","Dominican Republic","Male","
3.2
","3.2","","",""
"Children aged <5 years underweight (%)","NLIS_310197","Published","1986","Americas","Ecuador","Both sexes","
14.5
","14.5","","",""
"Children aged <5 years underweight (%)","NLIS_312298","Published","1998","Americas","Ecuador","Both sexes","
12.5
","12.5","","",""
"Children aged <5 years underweight (%)","NLIS_312782","Published","2004","Americas","Ecuador","Male","
6.5
","6.5","","",""
"Children aged <5 years underweight (%)","NLIS_312782","Published","2004","Americas","Ecuador","Both sexes","
6.2
","6.2","","",""
"Children aged <5 years underweight (%)","NLIS_312782","Published","2004","Americas","Ecuador","Female","
6.0
","6","","",""
"Children aged <5 years underweight (%)","NLIS_310236","Published","1978","Eastern Mediterranean","Egypt","Both sexes","
13.9
","13.9","","",""
"Children aged <5 years underweight (%)","NLIS_310272","Published","1988","Eastern Mediterranean","Egypt","Male","
11.7
","11.7","","",""
"Children aged <5 years underweight (%)","NLIS_310272","Published","1988","Eastern Mediterranean","Egypt","Female","
11.6
","11.6","","",""
"Children aged <5 years underweight (%)","NLIS_310272","Published","1988","Eastern Mediterranean","Egypt","Both sexes","
11.6
","11.6","","",""
"Children aged <5 years underweight (%)","NLIS_310442","Published","1991","Eastern Mediterranean","Egypt","Male","
11.9
","11.9","","",""
"Children aged <5 years underweight (%)","NLIS_310442","Published","1991","Eastern Mediterranean","Egypt","Female","
9.0
","9","","",""
"Children aged <5 years underweight (%)","NLIS_310442","Published","1991","Eastern Mediterranean","Egypt","Both sexes","
10.5
","10.5","","",""
"Children aged <5 years underweight (%)","NLIS_311408","Published","1993","Eastern Mediterranean","Egypt","Female","
7.9
","7.9","","",""
"Children aged <5 years underweight (%)","NLIS_311408","Published","1993","Eastern Mediterranean","Egypt","Both sexes","
8.2
","8.2","","",""
"Children aged <5 years underweight (%)","NLIS_311408","Published","1993","Eastern Mediterranean","Egypt","Male","
8.6
","8.6","","",""
"Children aged <5 years underweight (%)","NLIS_311665","Published","1996","Eastern Mediterranean","Egypt","Both sexes","
10.8
","10.8","","",""
"Children aged <5 years underweight (%)","NLIS_311665","Published","1996","Eastern Mediterranean","Egypt","Female","
9.8
","9.8","","",""
"Children aged <5 years underweight (%)","NLIS_311665","Published","1996","Eastern Mediterranean","Egypt","Male","
11.6
","11.6","","",""
"Children aged <5 years underweight (%)","NLIS_312109","Published","1998","Eastern Mediterranean","Egypt","Both sexes","
9.4
","9.4","","",""
"Children aged <5 years underweight (%)","NLIS_311895","Published","1998","Eastern Mediterranean","Egypt","Both sexes","
10.2
","10.2","","",""
"Children aged <5 years underweight (%)","NLIS_312221","Published","2000","Eastern Mediterranean","Egypt","Male","
5.0
","5","","",""
"Children aged <5 years underweight (%)","NLIS_312221","Published","2000","Eastern Mediterranean","Egypt","Female","
3.4
","3.4","","",""
"Children aged <5 years underweight (%)","NLIS_312221","Published","2000","Eastern Mediterranean","Egypt","Both sexes","
4.3
","4.3","","",""
"Children aged <5 years underweight (%)","NLIS_312627","Published","2003","Eastern Mediterranean","Egypt","Both sexes","
8.7
","8.7","","",""
"Children aged <5 years underweight (%)","NLIS_312627","Published","2003","Eastern Mediterranean","Egypt","Female","
7.0
","7","","",""
"Children aged <5 years underweight (%)","NLIS_312627","Published","2003","Eastern Mediterranean","Egypt","Male","
10.2
","10.2","","",""
"Children aged <5 years underweight (%)","NLIS_312758","Published","2005","Eastern Mediterranean","Egypt","Both sexes","
5.4
","5.4","","",""
"Children aged <5 years underweight (%)","NLIS_312758","Published","2005","Eastern Mediterranean","Egypt","Female","
4.2
","4.2","","",""
"Children aged <5 years underweight (%)","NLIS_312758","Published","2005","Eastern Mediterranean","Egypt","Male","
6.6
","6.6","","",""
"Children aged <5 years underweight (%)","NLIS_312925","Published","2008","Eastern Mediterranean","Egypt","Both sexes","
6.8
","6.8","","",""
"Children aged <5 years underweight (%)","NLIS_312925","Published","2008","Eastern Mediterranean","Egypt","Male","
8.1
","8.1","","",""
"Children aged <5 years underweight (%)","NLIS_312925","Published","2008","Eastern Mediterranean","Egypt","Female","
5.4
","5.4","","",""
"Children aged <5 years underweight (%)","NLIS_310169","Published","1975","Americas","El Salvador","Both sexes","
19.5
","19.5","","",""
"Children aged <5 years underweight (%)","NLIS_311056","Published","1988","Americas","El Salvador","Female","
10.7
","10.7","","",""
"Children aged <5 years underweight (%)","NLIS_311056","Published","1988","Americas","El Salvador","Male","
11.6
","11.6","","",""
"Children aged <5 years underweight (%)","NLIS_311056","Published","1988","Americas","El Salvador","Both sexes","
11.1
","11.1","","",""
"Children aged <5 years underweight (%)","NLIS_311293","Published","1993","Americas","El Salvador","Female","
6.1
","6.1","","",""
"Children aged <5 years underweight (%)","NLIS_311293","Published","1993","Americas","El Salvador","Both sexes","
7.2
","7.2","","",""
"Children aged <5 years underweight (%)","NLIS_311293","Published","1993","Americas","El Salvador","Male","
8.2
","8.2","","",""
"Children aged <5 years underweight (%)","NLIS_312101","Published","1998","Americas","El Salvador","Both sexes","
9.6
","9.6","","",""
"Children aged <5 years underweight (%)","NLIS_312101","Published","1998","Americas","El Salvador","Female","
9.3
","9.3","","",""
"Children aged <5 years underweight (%)","NLIS_312101","Published","1998","Americas","El Salvador","Male","
9.9
","9.9","","",""
"Children aged <5 years underweight (%)","NLIS_312516","Published","2003","Americas","El Salvador","Female","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_312516","Published","2003","Americas","El Salvador","Male","
6.9
","6.9","","",""
"Children aged <5 years underweight (%)","NLIS_312516","Published","2003","Americas","El Salvador","Both sexes","
6.1
","6.1","","",""
"Children aged <5 years underweight (%)","NLIS_313070","Published","2008","Americas","El Salvador","Female","
6.7
","6.7","","",""
"Children aged <5 years underweight (%)","NLIS_313070","Published","2008","Americas","El Salvador","Both sexes","
6.6
","6.6","","",""
"Children aged <5 years underweight (%)","NLIS_313070","Published","2008","Americas","El Salvador","Male","
6.5
","6.5","","",""
"Children aged <5 years underweight (%)","NLIS_312981","Published","1997","Africa","Equatorial Guinea","Both sexes","
13.8
","13.8","","",""
"Children aged <5 years underweight (%)","NLIS_312981","Published","1997","Africa","Equatorial Guinea","Male","
15.4
","15.4","","",""
"Children aged <5 years underweight (%)","NLIS_312981","Published","1997","Africa","Equatorial Guinea","Female","
12.2
","12.2","","",""
"Children aged <5 years underweight (%)","NLIS_312757","Published","2000","Africa","Equatorial Guinea","Both sexes","
15.7
","15.7","","",""
"Children aged <5 years underweight (%)","NLIS_312757","Published","2000","Africa","Equatorial Guinea","Male","
16.8
","16.8","","",""
"Children aged <5 years underweight (%)","NLIS_312757","Published","2000","Africa","Equatorial Guinea","Female","
14.6
","14.6","","",""
"Children aged <5 years underweight (%)","NLIS_312850","Published","2004","Africa","Equatorial Guinea","Female","
9.9
","9.9","","",""
"Children aged <5 years underweight (%)","NLIS_312850","Published","2004","Africa","Equatorial Guinea","Male","
11.3
","11.3","","",""
"Children aged <5 years underweight (%)","NLIS_312850","Published","2004","Africa","Equatorial Guinea","Both sexes","
10.6
","10.6","","",""
"Children aged <5 years underweight (%)","NLIS_311627","Published","1993","Africa","Eritrea","Both sexes","
36.9
","36.9","","",""
"Children aged <5 years underweight (%)","NLIS_311711","Published","1996","Africa","Eritrea","Female","
37.1
","37.1","","",""
"Children aged <5 years underweight (%)","NLIS_311711","Published","1996","Africa","Eritrea","Male","
39.4
","39.4","","",""
"Children aged <5 years underweight (%)","NLIS_311711","Published","1996","Africa","Eritrea","Both sexes","
38.3
","38.3","","",""
"Children aged <5 years underweight (%)","NLIS_312494","Published","2002","Africa","Eritrea","Both sexes","
34.5
","34.5","","",""
"Children aged <5 years underweight (%)","NLIS_312494","Published","2002","Africa","Eritrea","Female","
33.0
","33","","",""
"Children aged <5 years underweight (%)","NLIS_312494","Published","2002","Africa","Eritrea","Male","
35.9
","35.9","","",""
"Children aged <5 years underweight (%)","NLIS_312220","Published","2000","Africa","Ethiopia","Both sexes","
42.0
","42","","",""
"Children aged <5 years underweight (%)","NLIS_312220","Published","2000","Africa","Ethiopia","Male","
44.4
","44.4","","",""
"Children aged <5 years underweight (%)","NLIS_312220","Published","2000","Africa","Ethiopia","Female","
39.6
","39.6","","",""
"Children aged <5 years underweight (%)","NLIS_312762","Published","2005","Africa","Ethiopia","Female","
32.8
","32.8","","",""
"Children aged <5 years underweight (%)","NLIS_312762","Published","2005","Africa","Ethiopia","Male","
36.5
","36.5","","",""
"Children aged <5 years underweight (%)","NLIS_312762","Published","2005","Africa","Ethiopia","Both sexes","
34.6
","34.6","","",""
"Children aged <5 years underweight (%)","NLIS_313116","Published","2011","Africa","Ethiopia","Male","
30.9
","30.9","","",""
"Children aged <5 years underweight (%)","NLIS_313116","Published","2011","Africa","Ethiopia","Female","
27.3
","27.3","","",""
"Children aged <5 years underweight (%)","NLIS_313116","Published","2011","Africa","Ethiopia","Both sexes","
29.2
","29.2","","",""
"Children aged <5 years underweight (%)","NLIS_311513","Published","1993","Western Pacific","Fiji","Both sexes","
6.9
","6.9","","",""
"Children aged <5 years underweight (%)","NLIS_312278","Published","2001","Africa","Gabon","Both sexes","
8.8
","8.8","","",""
"Children aged <5 years underweight (%)","NLIS_312278","Published","2001","Africa","Gabon","Male","
10.1
","10.1","","",""
"Children aged <5 years underweight (%)","NLIS_312278","Published","2001","Africa","Gabon","Female","
7.4
","7.4","","",""
"Children aged <5 years underweight (%)","NLIS_311787","Published","1996","Africa","Gambia","Both sexes","
23.2
","23.2","","",""
"Children aged <5 years underweight (%)","NLIS_312328","Published","2000","Africa","Gambia","Male","
16.5
","16.5","","",""
"Children aged <5 years underweight (%)","NLIS_312328","Published","2000","Africa","Gambia","Female","
14.3
","14.3","","",""
"Children aged <5 years underweight (%)","NLIS_312328","Published","2000","Africa","Gambia","Both sexes","
15.4
","15.4","","",""
"Children aged <5 years underweight (%)","NLIS_312861","Published","2006","Africa","Gambia","Female","
15.0
","15","","",""
"Children aged <5 years underweight (%)","NLIS_312861","Published","2006","Africa","Gambia","Both sexes","
15.8
","15.8","","",""
"Children aged <5 years underweight (%)","NLIS_312861","Published","2006","Africa","Gambia","Male","
16.7
","16.7","","",""
"Children aged <5 years underweight (%)","NLIS_312073","Published","1999","Europe","Georgia","Both sexes","
2.7
","2.7","","",""
"Children aged <5 years underweight (%)","NLIS_312889","Published","2005","Europe","Georgia","Both sexes","
2.3
","2.3","","",""
"Children aged <5 years underweight (%)","NLIS_312889","Published","2005","Europe","Georgia","Female","
1.9
","1.9","","",""
"Children aged <5 years underweight (%)","NLIS_312889","Published","2005","Europe","Georgia","Male","
2.6
","2.6","","",""
"Children aged <5 years underweight (%)","NLIS_313082","Published","2009","Europe","Georgia","Both sexes","
1.1
","1.1","","",""
"Children aged <5 years underweight (%)","NLIS_313082","Published","2009","Europe","Georgia","Female","
1.0
","1","","",""
"Children aged <5 years underweight (%)","NLIS_313082","Published","2009","Europe","Georgia","Male","
1.3
","1.3","","",""
"Children aged <5 years underweight (%)","NLIS_312939","Published","2006","Europe","Germany","Female","
1.3
","1.3","","",""
"Children aged <5 years underweight (%)","NLIS_312939","Published","2006","Europe","Germany","Both sexes","
1.1
","1.1","","",""
"Children aged <5 years underweight (%)","NLIS_312939","Published","2006","Europe","Germany","Male","
0.9
","0.9","","",""
"Children aged <5 years underweight (%)","NLIS_310426","Published","1988","Africa","Ghana","Both sexes","
24.1
","24.1","","",""
"Children aged <5 years underweight (%)","NLIS_310426","Published","1988","Africa","Ghana","Female","
23.4
","23.4","","",""
"Children aged <5 years underweight (%)","NLIS_310051","Published","1988","Africa","Ghana","Both sexes","
24.0
","24","","",""
"Children aged <5 years underweight (%)","NLIS_310426","Published","1988","Africa","Ghana","Male","
24.8
","24.8","","",""
"Children aged <5 years underweight (%)","NLIS_311422","Published","1994","Africa","Ghana","Both sexes","
25.1
","25.1","","",""
"Children aged <5 years underweight (%)","NLIS_311422","Published","1994","Africa","Ghana","Male","
27.0
","27","","",""
"Children aged <5 years underweight (%)","NLIS_311422","Published","1994","Africa","Ghana","Female","
23.2
","23.2","","",""
"Children aged <5 years underweight (%)","NLIS_311995","Published","1999","Africa","Ghana","Both sexes","
20.3
","20.3","","",""
"Children aged <5 years underweight (%)","NLIS_311995","Published","1999","Africa","Ghana","Female","
19.9
","19.9","","",""
"Children aged <5 years underweight (%)","NLIS_311995","Published","1999","Africa","Ghana","Male","
20.7
","20.7","","",""
"Children aged <5 years underweight (%)","NLIS_312628","Published","2003","Africa","Ghana","Both sexes","
18.8
","18.8","","",""
"Children aged <5 years underweight (%)","NLIS_312628","Published","2003","Africa","Ghana","Female","
17.0
","17","","",""
"Children aged <5 years underweight (%)","NLIS_312628","Published","2003","Africa","Ghana","Male","
20.6
","20.6","","",""
"Children aged <5 years underweight (%)","NLIS_312883","Published","2006","Africa","Ghana","Both sexes","
13.9
","13.9","","",""
"Children aged <5 years underweight (%)","NLIS_312883","Published","2006","Africa","Ghana","Female","
12.5
","12.5","","",""
"Children aged <5 years underweight (%)","NLIS_312883","Published","2006","Africa","Ghana","Male","
15.2
","15.2","","",""
"Children aged <5 years underweight (%)","NLIS_312963","Published","2008","Africa","Ghana","Female","
12.9
","12.9","","",""
"Children aged <5 years underweight (%)","NLIS_312963","Published","2008","Africa","Ghana","Both sexes","
14.3
","14.3","","",""
"Children aged <5 years underweight (%)","NLIS_312963","Published","2008","Africa","Ghana","Male","
15.7
","15.7","","",""
"Children aged <5 years underweight (%)","NLIS_310427","Published","1987","Americas","Guatemala","Both sexes","
27.8
","27.8","","",""
"Children aged <5 years underweight (%)","NLIS_310427","Published","1987","Americas","Guatemala","Male","
29.0
","29","","",""
"Children aged <5 years underweight (%)","NLIS_310427","Published","1987","Americas","Guatemala","Female","
26.6
","26.6","","",""
"Children aged <5 years underweight (%)","NLIS_311672","Published","1995","Americas","Guatemala","Both sexes","
21.7
","21.7","","",""
"Children aged <5 years underweight (%)","NLIS_311672","Published","1995","Americas","Guatemala","Male","
22.3
","22.3","","",""
"Children aged <5 years underweight (%)","NLIS_311672","Published","1995","Americas","Guatemala","Female","
21.1
","21.1","","",""
"Children aged <5 years underweight (%)","NLIS_312082","Published","1999","Americas","Guatemala","Both sexes","
20.3
","20.3","","",""
"Children aged <5 years underweight (%)","NLIS_312082","Published","1999","Americas","Guatemala","Male","
22.7
","22.7","","",""
"Children aged <5 years underweight (%)","NLIS_312082","Published","1999","Americas","Guatemala","Female","
17.8
","17.8","","",""
"Children aged <5 years underweight (%)","NLIS_312562","Published","2000","Americas","Guatemala","Both sexes","
19.6
","19.6","","",""
"Children aged <5 years underweight (%)","NLIS_312558","Published","2002","Americas","Guatemala","Male","
18.0
","18","","",""
"Children aged <5 years underweight (%)","NLIS_312558","Published","2002","Americas","Guatemala","Female","
17.5
","17.5","","",""
"Children aged <5 years underweight (%)","NLIS_312558","Published","2002","Americas","Guatemala","Both sexes","
17.7
","17.7","","",""
"Children aged <5 years underweight (%)","NLIS_312917","Published","2009","Americas","Guatemala","Female","
12.1
","12.1","","",""
"Children aged <5 years underweight (%)","NLIS_312917","Published","2009","Americas","Guatemala","Male","
13.9
","13.9","","",""
"Children aged <5 years underweight (%)","NLIS_312917","Published","2009","Americas","Guatemala","Both sexes","
13.0
","13","","",""
"Children aged <5 years underweight (%)","NLIS_312008","Published","1995","Africa","Guinea","Both sexes","
21.2
","21.2","","",""
"Children aged <5 years underweight (%)","NLIS_312138","Published","1999","Africa","Guinea","Female","
21.0
","21","","",""
"Children aged <5 years underweight (%)","NLIS_312138","Published","1999","Africa","Guinea","Both sexes","
21.2
","21.2","","",""
"Children aged <5 years underweight (%)","NLIS_312138","Published","1999","Africa","Guinea","Male","
21.3
","21.3","","",""
"Children aged <5 years underweight (%)","NLIS_312264","Published","2000","Africa","Guinea","Both sexes","
29.1
","29.1","","",""
"Children aged <5 years underweight (%)","NLIS_312759","Published","2005","Africa","Guinea","Both sexes","
22.5
","22.5","","",""
"Children aged <5 years underweight (%)","NLIS_312759","Published","2005","Africa","Guinea","Female","
20.6
","20.6","","",""
"Children aged <5 years underweight (%)","NLIS_312759","Published","2005","Africa","Guinea","Male","
24.4
","24.4","","",""
"Children aged <5 years underweight (%)","NLIS_312954","Published","2008","Africa","Guinea","Female","
19.7
","19.7","","",""
"Children aged <5 years underweight (%)","NLIS_312954","Published","2008","Africa","Guinea","Both sexes","
20.8
","20.8","","",""
"Children aged <5 years underweight (%)","NLIS_312954","Published","2008","Africa","Guinea","Male","
21.9
","21.9","","",""
"Children aged <5 years underweight (%)","NLIS_312358","Published","2000","Africa","Guinea-Bissau","Female","
21.5
","21.5","","",""
"Children aged <5 years underweight (%)","NLIS_312358","Published","2000","Africa","Guinea-Bissau","Both sexes","
21.9
","21.9","","",""
"Children aged <5 years underweight (%)","NLIS_312358","Published","2000","Africa","Guinea-Bissau","Male","
22.3
","22.3","","",""
"Children aged <5 years underweight (%)","NLIS_312884","Published","2006","Africa","Guinea-Bissau","Female","
16.7
","16.7","","",""
"Children aged <5 years underweight (%)","NLIS_312884","Published","2006","Africa","Guinea-Bissau","Both sexes","
17.4
","17.4","","",""
"Children aged <5 years underweight (%)","NLIS_312884","Published","2006","Africa","Guinea-Bissau","Male","
18.2
","18.2","","",""
"Children aged <5 years underweight (%)","NLIS_312955","Published","2008","Africa","Guinea-Bissau","Both sexes","
17.2
","17.2","","",""
"Children aged <5 years underweight (%)","NLIS_312955","Published","2008","Africa","Guinea-Bissau","Female","
17.8
","17.8","","",""
"Children aged <5 years underweight (%)","NLIS_312955","Published","2008","Africa","Guinea-Bissau","Male","
16.6
","16.6","","",""
"Children aged <5 years underweight (%)","NLIS_310150","Published","1971","Americas","Guyana","Both sexes","
22.0
","22","","",""
"Children aged <5 years underweight (%)","NLIS_310229","Published","1981","Americas","Guyana","Both sexes","
19.5
","19.5","","",""
"Children aged <5 years underweight (%)","NLIS_311573","Published","1993","Americas","Guyana","Both sexes","
16.1
","16.1","","",""
"Children aged <5 years underweight (%)","NLIS_312231","Published","1997","Americas","Guyana","Both sexes","
10.3
","10.3","","",""
"Children aged <5 years underweight (%)","NLIS_312624","Published","2000","Americas","Guyana","Male","
13.6
","13.6","","",""
"Children aged <5 years underweight (%)","NLIS_312624","Published","2000","Americas","Guyana","Female","
9.9
","9.9","","",""
"Children aged <5 years underweight (%)","NLIS_312624","Published","2000","Americas","Guyana","Both sexes","
11.9
","11.9","","",""
"Children aged <5 years underweight (%)","NLIS_312887","Published","2007","Americas","Guyana","Female","
10.0
","10","","",""
"Children aged <5 years underweight (%)","NLIS_312887","Published","2007","Americas","Guyana","Both sexes","
10.8
","10.8","","",""
"Children aged <5 years underweight (%)","NLIS_312887","Published","2007","Americas","Guyana","Male","
11.4
","11.4","","",""
"Children aged <5 years underweight (%)","NLIS_313119","Published","2009","Americas","Guyana","Female","
9.4
","9.4","","",""
"Children aged <5 years underweight (%)","NLIS_313119","Published","2009","Americas","Guyana","Male","
12.8
","12.8","","",""
"Children aged <5 years underweight (%)","NLIS_313119","Published","2009","Americas","Guyana","Both sexes","
11.1
","11.1","","",""
