"Indicator","Data Source","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"Children aged <5 years underweight (%)","NLIS_313054","C?te d'Ivoire","Both sexes","2007","Africa","29.4","29.40000","","",""
"Children aged <5 years underweight (%)","NLIS_313054","C?te d'Ivoire","Male","2007","Africa","30.3","30.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313054","C?te d'Ivoire","Female","2007","Africa","28.4","28.40000","","",""
"Children aged <5 years underweight (%)","NLIS_311678","Croatia","Both sexes","1994","Europe","0.6","0.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311678","Croatia","Both sexes","1995","Europe","0.5","0.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311678","Croatia","Both sexes","1996","Europe","0.5","0.50000","","",""
"Children aged <5 years underweight (%)","NLIS_313029","Cuba","Both sexes","2000","Americas","3.4","3.40000","","",""
"Children aged <5 years underweight (%)","NLIS_311277","Czech Republic","Both sexes","1991","Europe","0.9","0.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312764","Czech Republic","Female","2002","Europe","1.6","1.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312764","Czech Republic","Both sexes","2002","Europe","2.1","2.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312764","Czech Republic","Male","2002","Europe","2.5","2.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312345","Democratic People's Republic of Korea","Both sexes","2000","South-East Asia","24.7","24.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312471","Democratic People's Republic of Korea","Female","2002","South-East Asia","16.2","16.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312471","Democratic People's Republic of Korea","Both sexes","2002","South-East Asia","17.8","17.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312471","Democratic People's Republic of Korea","Male","2002","South-East Asia","19.2","19.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312962","Democratic People's Republic of Korea","Both sexes","2004","South-East Asia","20.6","20.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313074","Democratic People's Republic of Korea","Male","2009","South-East Asia","18.8","18.80000","","",""
"Children aged <5 years underweight (%)","NLIS_313074","Democratic People's Republic of Korea","Female","2009","South-East Asia","18.8","18.80000","","",""
"Children aged <5 years underweight (%)","NLIS_313074","Democratic People's Republic of Korea","Both sexes","2009","South-East Asia","18.8","18.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312529","Timor-Leste","Both sexes","2002","South-East Asia","40.6","40.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312529","Timor-Leste","Male","2002","South-East Asia","43.0","43.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312529","Timor-Leste","Female","2002","South-East Asia","38.1","38.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312662","Timor-Leste","Both sexes","2003","South-East Asia","41.5","41.50000","","",""
"Children aged <5 years underweight (%)","NLIS_313109","Timor-Leste","Male","2008","South-East Asia","52.5","52.50000","","",""
"Children aged <5 years underweight (%)","NLIS_313109","Timor-Leste","Both sexes","2008","South-East Asia","48.6","48.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313109","Timor-Leste","Female","2008","South-East Asia","44.5","44.50000","","",""
"Children aged <5 years underweight (%)","NLIS_313066","Timor-Leste","Both sexes","2010","South-East Asia","45.3","45.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313066","Timor-Leste","Female","2010","South-East Asia","43.7","43.70000","","",""
"Children aged <5 years underweight (%)","NLIS_313066","Timor-Leste","Male","2010","South-East Asia","46.8","46.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311558","Democratic Republic of the Congo","Both sexes","1995","Africa","30.7","30.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312393","Democratic Republic of the Congo","Male","2001","Africa","36.5","36.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312393","Democratic Republic of the Congo","Female","2001","Africa","30.7","30.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312393","Democratic Republic of the Congo","Both sexes","2001","Africa","33.6","33.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312888","Democratic Republic of the Congo","Male","2007","Africa","30.4","30.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312888","Democratic Republic of the Congo","Female","2007","Africa","26.1","26.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312888","Democratic Republic of the Congo","Both sexes","2007","Africa","28.2","28.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310380","Djibouti","Both sexes","1989","Eastern Mediterranean","20.2","20.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311936","Djibouti","Both sexes","1996","Eastern Mediterranean","16.0","16.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312898","Djibouti","Male","2002","Eastern Mediterranean","27.7","27.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312898","Djibouti","Both sexes","2002","Eastern Mediterranean","25.4","25.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312898","Djibouti","Female","2002","Eastern Mediterranean","23.0","23.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312950","Djibouti","Female","2006","Eastern Mediterranean","26.7","26.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312950","Djibouti","Male","2006","Eastern Mediterranean","32.1","32.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312950","Djibouti","Both sexes","2006","Eastern Mediterranean","29.6","29.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310214","Dominican Republic","Female","1986","Americas","7.3","7.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310214","Dominican Republic","Both sexes","1986","Americas","9.3","9.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310214","Dominican Republic","Male","1986","Americas","11.4","11.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310365","Dominican Republic","Female","1991","Americas","7.5","7.50000","","",""
"Children aged <5 years underweight (%)","NLIS_310365","Dominican Republic","Both sexes","1991","Americas","8.4","8.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310365","Dominican Republic","Male","1991","Americas","9.3","9.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311827","Dominican Republic","Both sexes","1996","Americas","4.7","4.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311827","Dominican Republic","Male","1996","Americas","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311827","Dominican Republic","Female","1996","Americas","4.1","4.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312356","Dominican Republic","Male","2000","Americas","4.0","4.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312356","Dominican Republic","Female","2000","Americas","2.9","2.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312356","Dominican Republic","Both sexes","2000","Americas","3.5","3.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312580","Dominican Republic","Male","2002","Americas","4.6","4.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312580","Dominican Republic","Female","2002","Americas","3.9","3.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312580","Dominican Republic","Both sexes","2002","Americas","4.2","4.20000","","",""
"Children aged <5 years underweight (%)","NLIS_313079","Dominican Republic","Both sexes","2006","Americas","4.6","4.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312919","Dominican Republic","Male","2007","Americas","3.2","3.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312919","Dominican Republic","Female","2007","Americas","3.7","3.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312919","Dominican Republic","Both sexes","2007","Americas","3.4","3.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310197","Ecuador","Both sexes","1986","Americas","14.5","14.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312298","Ecuador","Both sexes","1998","Americas","12.5","12.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312782","Ecuador","Female","2004","Americas","6.0","6.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312782","Ecuador","Male","2004","Americas","6.5","6.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312782","Ecuador","Both sexes","2004","Americas","6.2","6.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310236","Egypt","Both sexes","1978","Eastern Mediterranean","13.9","13.90000","","",""
"Children aged <5 years underweight (%)","NLIS_310272","Egypt","Female","1988","Eastern Mediterranean","11.6","11.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310272","Egypt","Male","1988","Eastern Mediterranean","11.7","11.70000","","",""
"Children aged <5 years underweight (%)","NLIS_310272","Egypt","Both sexes","1988","Eastern Mediterranean","11.6","11.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310442","Egypt","Female","1991","Eastern Mediterranean","9.0","9.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310442","Egypt","Both sexes","1991","Eastern Mediterranean","10.5","10.50000","","",""
"Children aged <5 years underweight (%)","NLIS_310442","Egypt","Male","1991","Eastern Mediterranean","11.9","11.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311408","Egypt","Female","1993","Eastern Mediterranean","7.9","7.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311408","Egypt","Both sexes","1993","Eastern Mediterranean","8.2","8.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311408","Egypt","Male","1993","Eastern Mediterranean","8.6","8.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311665","Egypt","Female","1996","Eastern Mediterranean","9.8","9.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311665","Egypt","Male","1996","Eastern Mediterranean","11.6","11.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311665","Egypt","Both sexes","1996","Eastern Mediterranean","10.8","10.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311895","Egypt","Both sexes","1998","Eastern Mediterranean","10.2","10.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312109","Egypt","Both sexes","1998","Eastern Mediterranean","9.4","9.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312221","Egypt","Both sexes","2000","Eastern Mediterranean","4.3","4.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312221","Egypt","Female","2000","Eastern Mediterranean","3.4","3.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312221","Egypt","Male","2000","Eastern Mediterranean","5.0","5.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312627","Egypt","Both sexes","2003","Eastern Mediterranean","8.7","8.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312627","Egypt","Female","2003","Eastern Mediterranean","7.0","7.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312627","Egypt","Male","2003","Eastern Mediterranean","10.2","10.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312758","Egypt","Male","2005","Eastern Mediterranean","6.6","6.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312758","Egypt","Female","2005","Eastern Mediterranean","4.2","4.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312758","Egypt","Both sexes","2005","Eastern Mediterranean","5.4","5.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312925","Egypt","Male","2008","Eastern Mediterranean","8.1","8.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312925","Egypt","Female","2008","Eastern Mediterranean","5.4","5.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312925","Egypt","Both sexes","2008","Eastern Mediterranean","6.8","6.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310169","El Salvador","Both sexes","1975","Americas","19.5","19.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311056","El Salvador","Both sexes","1988","Americas","11.1","11.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311056","El Salvador","Male","1988","Americas","11.6","11.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311056","El Salvador","Female","1988","Americas","10.7","10.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311293","El Salvador","Both sexes","1993","Americas","7.2","7.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311293","El Salvador","Male","1993","Americas","8.2","8.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311293","El Salvador","Female","1993","Americas","6.1","6.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312101","El Salvador","Female","1998","Americas","9.3","9.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312101","El Salvador","Male","1998","Americas","9.9","9.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312101","El Salvador","Both sexes","1998","Americas","9.6","9.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312516","El Salvador","Both sexes","2003","Americas","6.1","6.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312516","El Salvador","Male","2003","Americas","6.9","6.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312516","El Salvador","Female","2003","Americas","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313070","El Salvador","Male","2008","Americas","6.5","6.50000","","",""
"Children aged <5 years underweight (%)","NLIS_313070","El Salvador","Female","2008","Americas","6.7","6.70000","","",""
"Children aged <5 years underweight (%)","NLIS_313070","El Salvador","Both sexes","2008","Americas","6.6","6.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312981","Equatorial Guinea","Both sexes","1997","Africa","13.8","13.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312981","Equatorial Guinea","Female","1997","Africa","12.2","12.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312981","Equatorial Guinea","Male","1997","Africa","15.4","15.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312757","Equatorial Guinea","Both sexes","2000","Africa","15.7","15.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312757","Equatorial Guinea","Female","2000","Africa","14.6","14.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312757","Equatorial Guinea","Male","2000","Africa","16.8","16.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312850","Equatorial Guinea","Male","2004","Africa","11.3","11.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312850","Equatorial Guinea","Female","2004","Africa","9.9","9.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312850","Equatorial Guinea","Both sexes","2004","Africa","10.6","10.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311627","Eritrea","Both sexes","1993","Africa","36.9","36.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311711","Eritrea","Male","1996","Africa","39.4","39.40000","","",""
"Children aged <5 years underweight (%)","NLIS_311711","Eritrea","Female","1996","Africa","37.1","37.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311711","Eritrea","Both sexes","1996","Africa","38.3","38.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312494","Eritrea","Female","2002","Africa","33.0","33.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312494","Eritrea","Both sexes","2002","Africa","34.5","34.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312494","Eritrea","Male","2002","Africa","35.9","35.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312220","Ethiopia","Both sexes","2000","Africa","42.0","42.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312220","Ethiopia","Male","2000","Africa","44.4","44.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312220","Ethiopia","Female","2000","Africa","39.6","39.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312762","Ethiopia","Male","2005","Africa","36.5","36.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312762","Ethiopia","Both sexes","2005","Africa","34.6","34.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312762","Ethiopia","Female","2005","Africa","32.8","32.80000","","",""
"Children aged <5 years underweight (%)","NLIS_313116","Ethiopia","Female","2011","Africa","27.3","27.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313116","Ethiopia","Male","2011","Africa","30.9","30.90000","","",""
"Children aged <5 years underweight (%)","NLIS_313116","Ethiopia","Both sexes","2011","Africa","29.2","29.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311513","Fiji","Both sexes","1993","Western Pacific","6.9","6.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312278","Gabon","Female","2001","Africa","7.4","7.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312278","Gabon","Both sexes","2001","Africa","8.8","8.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312278","Gabon","Male","2001","Africa","10.1","10.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311787","Gambia","Both sexes","1996","Africa","23.2","23.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312328","Gambia","Both sexes","2000","Africa","15.4","15.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312328","Gambia","Female","2000","Africa","14.3","14.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312328","Gambia","Male","2000","Africa","16.5","16.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312861","Gambia","Both sexes","2006","Africa","15.8","15.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312861","Gambia","Male","2006","Africa","16.7","16.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312861","Gambia","Female","2006","Africa","15.0","15.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312073","Georgia","Both sexes","1999","Europe","2.7","2.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312889","Georgia","Female","2005","Europe","1.9","1.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312889","Georgia","Both sexes","2005","Europe","2.3","2.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312889","Georgia","Male","2005","Europe","2.6","2.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313082","Georgia","Both sexes","2009","Europe","1.1","1.10000","","",""
"Children aged <5 years underweight (%)","NLIS_313082","Georgia","Male","2009","Europe","1.3","1.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313082","Georgia","Female","2009","Europe","1.0","1.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312939","Germany","Male","2006","Europe","0.9","0.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312939","Germany","Both sexes","2006","Europe","1.1","1.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312939","Germany","Female","2006","Europe","1.3","1.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310426","Ghana","Male","1988","Africa","24.8","24.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310051","Ghana","Both sexes","1988","Africa","24.0","24.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310426","Ghana","Both sexes","1988","Africa","24.1","24.10000","","",""
"Children aged <5 years underweight (%)","NLIS_310426","Ghana","Female","1988","Africa","23.4","23.40000","","",""
"Children aged <5 years underweight (%)","NLIS_311422","Ghana","Male","1994","Africa","27.0","27.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311422","Ghana","Female","1994","Africa","23.2","23.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311422","Ghana","Both sexes","1994","Africa","25.1","25.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311995","Ghana","Female","1999","Africa","19.9","19.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311995","Ghana","Both sexes","1999","Africa","20.3","20.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311995","Ghana","Male","1999","Africa","20.7","20.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312628","Ghana","Male","2003","Africa","20.6","20.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312628","Ghana","Both sexes","2003","Africa","18.8","18.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312628","Ghana","Female","2003","Africa","17.0","17.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312883","Ghana","Male","2006","Africa","15.2","15.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312883","Ghana","Female","2006","Africa","12.5","12.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312883","Ghana","Both sexes","2006","Africa","13.9","13.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312963","Ghana","Female","2008","Africa","12.9","12.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312963","Ghana","Male","2008","Africa","15.7","15.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312963","Ghana","Both sexes","2008","Africa","14.3","14.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310427","Guatemala","Both sexes","1987","Americas","27.8","27.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310427","Guatemala","Female","1987","Americas","26.6","26.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310427","Guatemala","Male","1987","Americas","29.0","29.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311672","Guatemala","Female","1995","Americas","21.1","21.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311672","Guatemala","Both sexes","1995","Americas","21.7","21.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311672","Guatemala","Male","1995","Americas","22.3","22.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312082","Guatemala","Both sexes","1999","Americas","20.3","20.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312082","Guatemala","Male","1999","Americas","22.7","22.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312082","Guatemala","Female","1999","Americas","17.8","17.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312562","Guatemala","Both sexes","2000","Americas","19.6","19.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312558","Guatemala","Male","2002","Americas","18.0","18.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312558","Guatemala","Female","2002","Americas","17.5","17.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312558","Guatemala","Both sexes","2002","Americas","17.7","17.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312917","Guatemala","Both sexes","2009","Americas","13.0","13.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312917","Guatemala","Female","2009","Americas","12.1","12.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312917","Guatemala","Male","2009","Americas","13.9","13.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312008","Guinea","Both sexes","1995","Africa","21.2","21.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312138","Guinea","Male","1999","Africa","21.3","21.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312138","Guinea","Both sexes","1999","Africa","21.2","21.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312138","Guinea","Female","1999","Africa","21.0","21.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312264","Guinea","Both sexes","2000","Africa","29.1","29.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312759","Guinea","Female","2005","Africa","20.6","20.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312759","Guinea","Both sexes","2005","Africa","22.5","22.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312759","Guinea","Male","2005","Africa","24.4","24.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312954","Guinea","Male","2008","Africa","21.9","21.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312954","Guinea","Both sexes","2008","Africa","20.8","20.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312954","Guinea","Female","2008","Africa","19.7","19.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312358","Guinea-Bissau","Male","2000","Africa","22.3","22.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312358","Guinea-Bissau","Both sexes","2000","Africa","21.9","21.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312358","Guinea-Bissau","Female","2000","Africa","21.5","21.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312884","Guinea-Bissau","Both sexes","2006","Africa","17.4","17.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312884","Guinea-Bissau","Female","2006","Africa","16.7","16.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312884","Guinea-Bissau","Male","2006","Africa","18.2","18.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312955","Guinea-Bissau","Female","2008","Africa","17.8","17.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312955","Guinea-Bissau","Both sexes","2008","Africa","17.2","17.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312955","Guinea-Bissau","Male","2008","Africa","16.6","16.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310150","Guyana","Both sexes","1971","Americas","22.0","22.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310229","Guyana","Both sexes","1981","Americas","19.5","19.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311573","Guyana","Both sexes","1993","Americas","16.1","16.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312231","Guyana","Both sexes","1997","Americas","10.3","10.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312624","Guyana","Both sexes","2000","Americas","11.9","11.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312624","Guyana","Female","2000","Americas","9.9","9.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312624","Guyana","Male","2000","Americas","13.6","13.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312887","Guyana","Female","2007","Americas","10.0","10.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312887","Guyana","Both sexes","2007","Americas","10.8","10.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312887","Guyana","Male","2007","Americas","11.4","11.40000","","",""
"Children aged <5 years underweight (%)","NLIS_313119","Guyana","Both sexes","2009","Americas","11.1","11.10000","","",""
"Children aged <5 years underweight (%)","NLIS_313119","Guyana","Male","2009","Americas","12.8","12.80000","","",""
"Children aged <5 years underweight (%)","NLIS_313119","Guyana","Female","2009","Americas","9.4","9.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310151","Haiti","Both sexes","1978","Americas","33.5","33.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311544","Haiti","Both sexes","1990","Americas","23.7","23.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311547","Haiti","Both sexes","1995","Americas","24.0","24.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311547","Haiti","Male","1995","Americas","25.3","25.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311547","Haiti","Female","1995","Americas","22.7","22.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312276","Haiti","Both sexes","2000","Americas","13.9","13.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312276","Haiti","Female","2000","Americas","12.2","12.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312276","Haiti","Male","2000","Americas","15.7","15.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312792","Haiti","Both sexes","2006","Americas","18.9","18.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312792","Haiti","Female","2006","Americas","17.4","17.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312792","Haiti","Male","2006","Americas","20.4","20.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310457","Honduras","Both sexes","1987","Americas","18.1","18.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311325","Honduras","Both sexes","1992","Americas","15.8","15.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311614","Honduras","Both sexes","1994","Americas","16.1","16.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311917","Honduras","Male","1996","Americas","18.3","18.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311917","Honduras","Female","1996","Americas","20.1","20.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311917","Honduras","Both sexes","1996","Americas","19.2","19.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312365","Honduras","Both sexes","2001","Americas","12.5","12.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312365","Honduras","Male","2001","Americas","13.1","13.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312365","Honduras","Female","2001","Americas","11.9","11.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312770","Honduras","Female","2006","Americas","8.3","8.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312770","Honduras","Both sexes","2006","Americas","8.6","8.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312770","Honduras","Male","2006","Americas","8.9","8.90000","","",""
